,id,original_title,tags,vote_average
20,1930,The Amazing Spider-Man,peter parker be an outcast high schooler abandon by his parent a a boy leave him to be raise by his uncle ben and aunt may like most teenager peter be try to figure out who he be and how he get to be the person he be today a peter discover a mysterious briefcase that belong to his father he begin a quest to understand his parents' disappearance – lead him directly to oscorp and the lab of dr curt connors his father's former partner a spider-man be set on a collision course with connors' alter ego the lizard peter will make life-altering choice to use his power and shape his destiny to become a hero action adventure fantasy loss_of_father vigilante serum marvel_comic scientific_experiment spider_bite masked_vigilante reboot super_powers genetic_engineering social_outcast duringcreditsstinger andrew_garfield emma_stone rhys_ifans denis_leary campbell_scott marc_webb,6.5
21,20662,Robin Hood,when soldier robin happen upon the die robert of loxley he promise to return the man's sword to his family in nottingham there he assume robert's identity; romance his widow marion; and draw the ire of the town's sheriff and king john's henchman godfrey action adventure robin_hood archer knight sherwood_forest bow_and_arrow middle_age medieval king_of_england russell_crowe cate_blanchett max_von_sydow william_hurt mark_strong ridley_scott,6.2
22,57158,The Hobbit: The Desolation of Smaug,the dwarf bilbo and gandalf have successfully escape the misty mountain and bilbo have gain the one ring they all continue their journey to get their gold back from the dragon smaug adventure fantasy elves dwarf orcs hobbit dragon wizard sword_and_sorcery martin_freeman ian_mckellen richard_armitage ken_stott graham_mctavish peter_jackson,7.6
23,2268,The Golden Compass,after overhear a shocking secret precocious orphan lyra belacqua trade her carefree existence roam the hall of jordan college for an otherworldly adventure in the far north unaware that it's part of her destiny adventure fantasy england compass experiment lordship uncle polar_bear orphan animal based_on_young_adult_novel dakota_blue_richards nicole_kidman daniel_craig sam_elliott eva_green chris_weitz,5.8
24,254,King Kong,in 1933 new york an overly ambitious movie producer coerce his cast and hire ship crew to travel to mysterious skull island where they encounter kong a giant ape who be immediately smite with the lead lady adventure drama action film_business screenplay show_business film_making film_producer exotic_island monster indigenous ship dinosaur naomi_watts jack_black adrien_brody thomas_kretschmann colin_hanks peter_jackson,6.6
25,597,Titanic,84 year later a 101-year-old woman name rise dewitt bukater tell the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship call titanic when young rise board the depart ship with the upper-class passenger and her mother ruth dewitt bukater and her fiancé caledon hockley meanwhile a drifter and artist name jack dawson and his best friend fabrizio de rossi win third-class ticket to the ship in a game and she explain the whole story from departure until the death of titanic on it first and last voyage april 15th 1912 at 2:20 in the morning drama romance thriller shipwreck iceberg ship panic titanic ocean_liner epic rich_woman_-_poor_man love disaster tragic_love class_differences imax star_crossed_lovers steerage salvage rich_snob 3d 1910s kate_winslet leonardo_dicaprio frances_fisher billy_zane kathy_bates james_cameron,7.5
26,271110,Captain America: Civil War,follow the event of age of ultron the collective government of the world pas an act design to regulate all superhuman activity this polarize opinion amongst the avenger cause two faction to side with iron man or captain america which cause an epic battle between former ally adventure action science_fiction civil_war war marvel_comic sequel superhero based_on_comic_book imax aftercreditsstinger duringcreditsstinger marvel_cinematic_universe 3d chris_evans robert_downey_jr scarlett_johansson sebastian_stan anthony_mackie anthony_russo,7.1
27,44833,Battleship,when mankind beam a radio signal into space a reply come from ‘planet g’ in the form of several alien craft that splash down in the water off hawaii lieutenant alex hopper be a weapon officer assign to the uss john paul jones part of an international naval coalition which become the world's last hope for survival a they engage the hostile alien force of unimaginable strength while take on the invader hopper must also try to live up to the potential his brother and his fiancée's father admiral shane expect of him thriller action adventure science_fiction fight u s _navy mind_reading hong_kong soccer scientist fictional_war naval armada battleship naval_combat jds_myoko lost_communication taser buoy communications_expert joint_chiefs_of_staff crash_land jet_fighter_pilot navy_lieutenant permission_to_marry uss_john_paul_jones based_on_board_game aftercreditsstinger mighty_mo uss_missouri taylor_kitsch alexander_skarsgård rihanna brooklyn_decker tadanobu_asano peter_berg,5.5
28,135397,Jurassic World,twenty-two year after the event of jurassic park isla nublar now feature a fully function dinosaur theme park jurassic world a originally envision by john hammond action adventure science_fiction thriller monster dna tyrannosaurus_rex velociraptor island sequel suspense disaster escape dinosaur amusement_park animal_attack theme_park jurassic_park 3d animal_horror chris_pratt bryce_dallas_howard irrfan_khan vincent_d'onofrio nick_robinson colin_trevorrow,6.5
29,37724,Skyfall,when bond's late assignment go gravely wrong and agent around the world be expose mi6 be attack force m to relocate the agency these event cause her authority and position to be challenge by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromise from both inside and out m be leave with one ally she can trust: bond 007 take to the shadow - aid only by field agent eve - follow a trail to the mysterious silva whose lethal and hidden motif have yet to reveal themselves action adventure thriller spy secret_agent sociopath killer art_gallery british_secret_service istanbul_turkey imax uzi booby_trap impersonating_a_police_officer macao daniel_craig judi_dench javier_bardem ralph_fiennes naomie_harris sam_mendes,6.9
30,558,Spider-Man 2,peter parker be go through a major identity crisis burn out from be spider-man he decide to shelve his superhero alter ego which leave the city suffering in the wake of carnage leave by the evil doc ock in the meantime parker still can't act on his feeling for mary jane watson a girl he's love since childhood action adventure fantasy dual_identity love_of_one's_life pizza_boy marvel_comic sequel superhero doctor scientist tentacle death super_villain tobey_maguire kirsten_dunst james_franco alfred_molina rosemary_harris sam_raimi,6.7
31,68721,Iron Man 3,when tony stark's world be torn apart by a formidable terrorist call the mandarin he start an odyssey of rebuild and retribution action adventure science_fiction terrorist war_on_terror tennessee malibu marvel_comic superhero based_on_comic_book tony_stark iron_man aftercreditsstinger marvel_cinematic_universe mandarin 3d war_machine iron_patriot extremis robert_downey_jr gwyneth_paltrow don_cheadle guy_pearce rebecca_hall shane_black,6.8
32,12155,Alice in Wonderland,alice an unpretentious and individual 19-year-old be betroth to a dunce of an english nobleman at her engagement party she escape the crowd to consider whether to go through with the marriage and fall down a hole in the garden after spot an unusual rabbit arrive in a strange and surreal place call 'underland ' she find herself in a world that resemble the nightmare she have a a child fill with talk animal villainous queen and knight and frumious bandersnatches alice realize that she be there for a reason – to conquer the horrific jabberwocky and restore the rightful queen to her throne family fantasy adventure based_on_novel fictional_place queen fantasy alice_in_wonderland fantasy_world 3d mia_wasikowska johnny_depp anne_hathaway helena_bonham_carter crispin_glover tim_burton,6.4
33,36668,X-Men: The Last Stand,when a cure be find to treat mutation line be draw amongst the x-men and the brotherhood a band of powerful mutant organize under xavier's former ally magneto adventure action science_fiction thriller mutant marvel_comic based_on_comic_book superhuman beast cyclops aftercreditsstinger hugh_jackman halle_berry ian_mckellen patrick_stewart famke_janssen brett_ratner,6.3
34,62211,Monsters University,a look at the relationship between mike and sulley during their day at monster university — when they weren't necessarily the best of friend animation family monster dormitory game animation best_friend university scary aftercreditsstinger billy_crystal john_goodman steve_buscemi helen_mirren noah_johnston dan_scanlon,7.0
35,8373,Transformers: Revenge of the Fallen,sam witwicky leave the autobots behind for a normal life but when his mind be fill with cryptic symbol the decepticons target him and he be drag back into the transformers' war science_fiction action adventure egypt sun chaos symbol artifact transformer tank robot imax duringcreditsstinger shia_labeouf megan_fox josh_duhamel rainn_wilson tyrese_gibson michael_bay,6.0
36,91314,Transformers: Age of Extinction,"a humanity pick up the piece follow the conclusion of ""transformers: dark of the moon "" autobots and decepticons have all but vanish from the face of the planet however a group of powerful ingenious businessman and scientist attempt to learn from past transformer incursion and push the boundary of technology beyond what they can control - all while an ancient powerful transformer menace set earth in his cross-hairs science_fiction action adventure sequel alien transformer giant_robot robot imax transforming_robot mark_wahlberg stanley_tucci kelsey_grammer nicola_peltz jack_reynor michael_bay",5.8
37,68728,Oz: The Great and Powerful,oscar diggs a small-time circus illusionist and con-artist be whisk from kansa to the land of oz where the inhabitant assume he's the great wizard of prophecy there to save oz from the clutch of evil fantasy adventure family circus witch magic hope illusion lose magic_trick wizard 3d james_franco mila_kunis rachel_weisz michelle_williams zach_braff sam_raimi,5.7
38,102382,The Amazing Spider-Man 2,for peter parker life be busy between take out the bad guy a spider-man and spending time with the person he love gwen stacy high school graduation cannot come quickly enough peter have not forget about the promise he make to gwen’s father to protect her by stay away but that be a promise he cannot keep thing will change for peter when a new villain electro emerge an old friend harry osborn return and peter uncovers new clue about his past action adventure fantasy obsession marvel_comic sequel based_on_comic_book electrocution medical_experiment electricity super_powers andrew_garfield emma_stone jamie_foxx dane_dehaan campbell_scott marc_webb,6.5
39,20526,TRON: Legacy,sam flynn the tech-savvy and dare son of kevin flynn investigate his father's disappearance and be pull into the grid with the help of a mysterious program name quorra sam quest to stop evil dictator clu from cross into the real world adventure action science_fiction artificial_intelligence secret_identity computer_program dystopia computer deception duel motorcycle neon_light autocracy garrett_hedlund jeff_bridges olivia_wilde bruce_boxleitner yaya_dacosta joseph_kosinski,6.3
40,49013,Cars 2,star race car lightning mcqueen and his pal mat head overseas to compete in the world grand prix race but the road to the championship become rocky a mat get catch up in an intriguing adventure of his own: international espionage animation family adventure comedy car_race sequel comedy anthropomorphism best_friend duringcreditsstinger owen_wilson larry_the_cable_guy michael_caine emily_mortimer john_turturro john_lasseter,5.8
41,44912,Green Lantern,for century a small but powerful force of warrior call the green lantern corp have swear to keep intergalactic order each green lantern wear a ring that grant him superpower but when a new enemy call parallax threaten to destroy the balance of power in the universe their fate and the fate of earth lie in the hand of the first human ever recruit adventure action thriller science_fiction dc_comics transformation superhero alien alien_infection magical_object protector super_powers origin 3d ryan_reynolds blake_lively peter_sarsgaard tim_robbins mark_strong martin_campbell,5.1
42,10193,Toy Story 3,woody buzz and the rest of andy's toy haven't be play with in year with andy about to go to college the gang find themselves accidentally leave at a nefarious day care center the toy must band together to escape and return home to andy animation family comedy hostage college toy barbie animation escape day_care teddy_bear duringcreditsstinger toy_comes_to_life personification inanimate_objects_coming_to_life toy_story tom_hanks tim_allen ned_beatty joan_cusack michael_keaton lee_unkrich,7.6
43,534,Terminator Salvation,all grow up in post-apocalyptic 2018 john connor must lead the resistance of human against the increasingly dominating militaristic robot but when marcus wright appear his existence confuse the mission a connor try to determine whether wright have come from the future or the past -- and whether he's friend or foe action science_fiction thriller saving_the_world artificial_intelligence prophecy san_francisco cyborg killer_robot gas_station post-apocalyptic dystopia army firearm wartime los_angeles christian_bale sam_worthington anton_yelchin moon_bloodgood bryce_dallas_howard mcg,5.9
44,168259,Furious 7,deckard shaw seek revenge against dominic toretto and his family for his comatose brother action car_race speed revenge suspense car race muscle_car vin_diesel paul_walker dwayne_johnson michelle_rodriguez tyrese_gibson james_wan,7.3
45,72190,World War Z,life for former united nation investigator gerry lane and his family seem content suddenly the world be plague by a mysterious infection turn whole human population into rampage mindless zombie after barely escape the chaos lane be persuade to go on a mission to investigate this disease what follow be a perilous trek around the world where lane must brave horrific danger and long odds to find answer before human civilization fall action drama horror science_fiction thriller dystopia apocalypse zombie nuclear_weapon multiple_perspectives zombie_apocalypse brad_pitt mireille_enos abigail_hargrove sterling_jerins james_badge_dale marc_forster,6.7
46,127585,X-Men: Days of Future Past,the ultimate x-men ensemble fight a war for the survival of the specie across two time period a they join force with their young self in an epic battle that must change the past – to save our future action adventure fantasy science_fiction 1970s mutant time_travel marvel_comic based_on_comic_book superhuman storm beast aftercreditsstinger changing_the_past_or_future hugh_jackman james_mcavoy michael_fassbender jennifer_lawrence halle_berry bryan_singer,7.5
47,54138,Star Trek Into Darkness,when the crew of the enterprise be call back home they find an unstoppable force of terror from within their own organization have detonate the fleet and everything it stand for leave our world in a state of crisis with a personal score to settle captain kirk lead a manhunt to a war-zone world to capture a one man weapon of mass destruction a our hero be propel into an epic chess game of life and death love will be challenge friendship will be torn apart and sacrifice must be make for the only family kirk have left: his crew action adventure science_fiction spacecraft friendship sequel futuristic space alien imax space_opera terrorist_bombing 3d chris_pine zachary_quinto zoe_saldana karl_urban simon_pegg j j _abrams,7.4
48,81005,Jack the Giant Slayer,the story of an ancient war that be reignite when a young farmhand unwittingly open a gateway between our world and a fearsome race of giant unleash on the earth for the first time in century the giant strive to reclaim the land they once lose force the young man jack into the battle of his life to stop them fight for a kingdom it people and the love of a brave princess he come face to face with the unstoppable warrior he think only exist in legend–and get the chance to become a legend himself action family fantasy based_on_fairy_tale giant nicholas_hoult eleanor_tomlinson ewan_mcgregor stanley_tucci ian_mcshane bryan_singer,5.5
49,64682,The Great Gatsby,an adaptation of f scott fitzgerald's long island-set novel where midwesterner nick carraway be lure into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the crack of gatsby's nouveau riche existence where obsession madness and tragedy await drama romance based_on_novel infidelity obsession hope 3d leonardo_dicaprio tobey_maguire carey_mulligan joel_edgerton elizabeth_debicki baz_luhrmann,7.3
50,9543,Prince of Persia: The Sands of Time,a rogue prince reluctantly join force with a mysterious princess and together they race against dark force to safeguard an ancient dagger capable of release the sand of time – gift from the god that can reverse time and allow it possessor to rule the world adventure fantasy action romance persia sandstorm brother_against_brother armageddon regent based_on_video_game jake_gyllenhaal gemma_arterton ben_kingsley alfred_molina steve_toussaint mike_newell,6.2
51,68726,Pacific Rim,when legion of monstrous creature know a kaiju start rise from the sea a war begin that would take million of life and consume humanity's resource for year on end to combat the giant kaiju a special type of weapon be devised: massive robot call jaeger which be control simultaneously by two pilot whose mind be lock in a neural bridge but even the jaeger be prove nearly defenseless in the face of the relentless kaiju on the verge of defeat the force defend mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (charlie hunnam) and an untested trainee (rinko kikuchi)—who be team to drive a legendary but seemingly obsolete jaeger from the past together they stand a mankind's last hope against the mounting apocalypse action science_fiction adventure dystopia giant_robot giant_monster apocalypse imax duringcreditsstinger 3d idris_elba charlie_hunnam charlie_day ron_perlman burn_gorman guillermo_del_toro,6.7
52,38356,Transformers: Dark of the Moon,sam witwicky take his first tenuous step into adulthood while remain a reluctant human ally of autobot-leader optimus prime the film center around the space race between the ussr and the usa suggesting there be a hidden transformer role in it all that remain one of the planet's most dangerous secret action science_fiction adventure moon spacecraft traitor bodyguard alien_planet based_on_cartoon transformer giant_robot sabotage word_domination commando duringcreditsstinger shia_labeouf john_malkovich ken_jeong frances_mcdormand josh_duhamel michael_bay,6.1
53,217,Indiana Jones and the Kingdom of the Crystal Skull,set during the cold war the soviet – lead by sword-wielding irina spalko – be in search of a crystal skull which have supernatural power relate to a mystical lose city of gold after be capture and then escape from them indy be coerce to head to peru at the behest of a young man whose friend – and indy's colleague – professor oxley have be capture for his knowledge of the skull's whereabouts adventure action saving_the_world riddle whip treasure mexico_city leather_jacket machinegun alien_phenomenons maya_civilization peru treasure_hunt nuclear_explosion refrigerator archaeologist indiana_jones archeology harrison_ford cate_blanchett shia_labeouf ray_winstone karen_allen steven_spielberg,5.7
54,105864,The Good Dinosaur,an epic journey into the world of dinosaur where an apatosaurus name arlo make an unlikely human friend adventure animation family tyrannosaurus_rex friend alternate_history dinosaur fear storm nature human journey raymond_ochoa jack_bright jeffrey_wright frances_mcdormand maleah_nipay-padilla peter_sohn,6.6
55,62177,Brave,brave be set in the mystical scottish highland where mérida be the princess of a kingdom rule by king fergus and queen elinor an unruly daughter and an accomplished archer mérida one day defy a sacred custom of the land and inadvertently bring turmoil to the kingdom in an attempt to set thing right mérida seek out an eccentric old wise woman and be grant an ill-fated wish also figure into mérida’s quest — and serving a comic relief — be the kingdom’s three lords: the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious_daughter turns_into_animal archery ruin aftercreditsstinger peace_offering woman_director courage 3d kelly_macdonald julie_walters billy_connolly emma_thompson kevin_mckidd brenda_chapman,6.7
56,188927,Star Trek Beyond,the uss enterprise crew explore the furthest reach of uncharted space where they encounter a mysterious new enemy who put them and everything the federation stand for to the test action adventure science_fiction sequel strand hatred space_opera chris_pine zachary_quinto karl_urban simon_pegg zoe_saldana justin_lin,6.6
57,10681,WALL·E,wall·e be the last robot leave on an earth that have be overrun with garbage and all human have flee to outer space for 700 year he have continue to try and clean up the mess but have develop some rather interesting human-like quality when a ship arrive with a sleek new type of robot wall·e think he's finally find a friend and stow away on the ship when it leave animation family romantic_comedy ben_burtt elissa_knight jeff_garlin fred_willard john_ratzenberger andrew_stanton,7.8
58,5174,Rush Hour 3,after an attempted assassination on ambassador han inspector lee and detective carter be back in action a they head to paris to protect a french woman with knowledge of the triads' secret leader lee also hold secret meeting with a united nation authority but his personal struggle with a chinese criminal mastermind name kenji which reveals that it's lee's long-lost brother action comedy crime thriller ambassador chris_tucker jackie_chan hiroyuki_sanada max_von_sydow yvan_attal brett_ratner,6.1
59,14161,2012,"dr adrian helmsley part of a worldwide geophysical team investigate the effect on the earth of radiation from unprecedented solar storm learn that the earth's core be heat up he warn u s president thomas wilson that the crust of the earth be become unstable and that without proper preparation for save a fraction of the world's population the entire race be doom meanwhile writer jackson curtis stumble on the same information while the world's leader race to build ""arks"" to escape the impending cataclysm curtis struggle to find a way to save his family meanwhile volcanic eruption and earthquake of unprecedented strength wreak havoc around the world action adventure science_fiction civilization natural_disaster end_of_the_world disaster apocalypse destruction volcanic_eruption mayan ark solar destruction__of_mankind john_cusack amanda_peet chiwetel_ejiofor thandie_newton oliver_platt roland_emmerich",5.6
60,17979,A Christmas Carol,miser ebenezer scrooge be awaken on christmas eve by spirit who reveal to him his own miserable existence what opportunities he waste in his youth his current cruelty and the dire fate that await him if he do not change his way scrooge be face with his own story of grow bitterness and meanness and must decide what his own future will hold: death or redemption animation drama holiday based_on_novel victorian_england money christmas_eve scrooge christmas_carol ghost lesson charles_dickens christmas gary_oldman jim_carrey steve_valentine daryl_sabara sage_ryan robert_zemeckis,6.6
61,76757,Jupiter Ascending,in a universe where human genetic material be the most precious commodity an impoverished young earth woman become the key to strategic maneuver and internal strife within a powerful dynasty… science_fiction fantasy action adventure jupiter space woman_director 3d interspecies_romance mila_kunis channing_tatum sean_bean eddie_redmayne douglas_booth lilly_wachowski,5.2
62,258489,The Legend of Tarzan,tarzan have acclimate to life in london be call back to his former home in the jungle to investigate the activity at a mining encampment action adventure africa feral_child tarzan jungle animal_attack alexander_skarsgård margot_robbie christoph_waltz samuel_l _jackson djimon_hounsou david_yates,5.5
63,411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",sibling lucy edmund susan and peter step through a magical wardrobe and find the land of narnia there the they discover a charming once peaceful kingdom that have be plunge into eternal winter by the evil white witch jadis aid by the wise and magnificent lion aslan the child lead narnia into a spectacular climactic battle to be free of the witch's glacial power forever adventure family fantasy saving_the_world witch based_on_novel brother_sister_relationship self_sacrifice winter cupboard beaver lion fairy-tale_figure battle narnia fantasy_world duringcreditsstinger william_moseley anna_popplewell skandar_keynes georgie_henley liam_neeson andrew_adamson,6.7
64,246655,X-Men: Apocalypse,after the re-emergence of the world's first mutant world-destroyer apocalypse the x-men must unite to defeat his extinction level plan science_fiction mutant supernatural_powers marvel_comic superhero based_on_comic_book superhuman apocalypse superhero_team world_domination aftercreditsstinger 1980s james_mcavoy michael_fassbender jennifer_lawrence nicholas_hoult oscar_isaac bryan_singer,6.4
